subject,relation,object
Freshservice,provides,support service
Freshservice,is one of the populer,cloud - based platforms for customer support
Freshservice,has,knowledge base
Freshservice,has,powerful ticketing system
all client queries,increase,client's productivity
Freshservice,keeps,good track of all client queries
Freshservice,is,easy to use the software
Freshservice,plays,a vital role in resolving issues by providing adequate solutions before providing adequate solutions
Freshservice,plays,a vital role in analyzing
Freshservice,Device Supported, Linux
Enterprise version,increases,the Client
Enterprise version,Starts at,US $ 29 to US $ 80
100 employees,are working,currently
Free Version,has,powerful automation tools
Free Version,has,priority matrix
Free Version,has,domain mapping
Freshservice,Features,  Free Version has ticketing
Free Version,supports,release management
Free Version,supports,change
Free Version,supports,problem
Free Version,supports,incident
Free Version,has,Free Version own custom mailbox
Free Version,has,Free Version own integrated game mechanics
Free Version,supports,enterprise reporting
Free Version,supports,advanced
Free Version,supports,basic
Free Version,supports,asset
Free Version,has,a simple configuration
Free Version,has,a simple & easy installation
Free Version,has,a powerful self - service catalog
Free Version,has,a powerful automation catalog
Free Version,has,a pleasant interface to work
Free Version,is,extremely flexible in customization
Free Version,has,a more SLA breaches
Free Version,has,a poor reporting
Free Version,has,a poor text editor in term of functionalities
Free Version,does n't allow,access to image repository
Adding additional modules,is not,possible
